timestamp,altitude,velocity,signal_strength
2025-12-28T00:00:00Z,400,7.8,95
2025-12-28T00:00:05Z,400.1,7.81,94.8
2025-12-28T00:00:10Z,399.9,7.79,95.1
2025-12-28T00:00:15Z,400.2,7.8,95
2025-12-28T00:00:20Z,400,7.8,94.9
2025-12-28T03:06:52.752674Z,400.2,7.81,94.96
2025-12-28T03:06:57.754829Z,400.33,7.81,95.02
2025-12-28T03:07:02.758242Z,400.17,7.81,91.01
2025-12-28T03:07:07.761550Z,404.71,7.81,91.06
2025-12-28T03:07:12.765304Z,404.8,7.81,91.18
2025-12-28T03:07:17.769460Z,404.88,7.82,91.17
2025-12-28T03:07:22.773899Z,404.9,7.81,91.13
2025-12-28T03:07:27.775558Z,405.05,7.81,91.17
2025-12-28T03:07:32.777549Z,405.23,7.82,91.08
2025-12-28T03:07:37.782961Z,405.02,7.81,91.17
2025-12-28T03:07:42.786914Z,405.07,7.81,91.37
2025-12-28T03:07:47.789076Z,405.06,7.82,91.25
2025-12-28T03:07:52.790876Z,404.99,7.83,91.24
2025-12-28T03:07:57.792750Z,405.15,7.83,91.06
2025-12-28T03:08:02.796466Z,405.19,7.82,90.87
2025-12-28T03:08:07.799974Z,405.1,7.82,91.02
2025-12-28T03:08:12.803446Z,401.67,7.81,91.16
2025-12-28T03:08:17.805409Z,405.46,7.82,91.12
2025-12-28T03:08:22.809810Z,405.27,7.82,90.99
2025-12-28T03:08:27.822313Z,405.13,7.83,90.81
2025-12-28T03:08:32.824931Z,405.19,7.83,90.66
2025-12-28T03:08:37.827403Z,406.69,7.84,90.64
2025-12-28T03:08:42.829619Z,406.57,7.85,90.48
2025-12-28T03:08:47.832273Z,406.63,7.85,90.52
2025-12-28T03:08:52.835651Z,406.81,7.86,90.41
2025-12-28T03:08:57.839038Z,406.9,7.86,90.37
2025-12-28T03:09:02.841074Z,407.0,7.86,90.37
2025-12-28T03:09:07.845197Z,407.01,7.86,90.51
2025-12-28T03:09:12.848097Z,406.95,7.87,90.52
2025-12-28T03:09:17.850540Z,407.02,7.87,90.58
2025-12-28T03:09:22.853946Z,407.17,7.88,90.78
2025-12-28T03:09:27.856199Z,407.17,7.88,90.78
2025-12-28T03:09:32.858835Z,407.8,7.87,90.87
2025-12-28T03:09:37.887480Z,407.62,7.88,91.03
2025-12-28T03:09:42.904237Z,407.65,7.87,90.89
2025-12-28T03:09:47.908987Z,407.83,7.87,91.06
2025-12-28T03:09:52.912932Z,407.65,7.87,90.93
2025-12-28T03:09:57.916861Z,407.5,7.87,90.91
2025-12-28T03:10:02.920127Z,407.45,7.86,91.01
2025-12-28T03:10:07.923936Z,407.56,7.87,90.93
2025-12-28T03:10:12.927433Z,407.53,7.86,90.86
2025-12-28T03:10:17.931019Z,407.43,7.86,90.67
2025-12-28T03:10:22.933229Z,407.48,7.86,90.67
2025-12-28T03:10:27.934495Z,407.28,7.87,90.61
2025-12-28T03:10:32.937052Z,407.14,7.86,90.5
2025-12-28T03:10:37.940878Z,407.1,7.87,85.74
2025-12-28T03:10:42.945104Z,406.99,7.87,94.45
2025-12-28T03:10:47.948717Z,407.0,7.87,94.34
2025-12-28T03:10:52.952870Z,406.87,7.87,94.4
2025-12-28T03:10:57.956576Z,406.77,7.87,94.54
2025-12-28T03:11:02.960125Z,406.66,7.87,94.67
2025-12-28T03:11:07.963571Z,406.59,7.88,94.71
2025-12-28T03:11:12.965296Z,406.74,7.88,94.73
2025-12-28T03:11:17.969345Z,406.74,7.88,94.88
2025-12-28T03:11:22.972854Z,406.6,7.88,94.7
2025-12-28T03:11:27.976398Z,406.5,7.88,94.55
2025-12-28T03:11:32.979944Z,406.46,7.88,88.47
2025-12-28T03:11:37.983537Z,406.45,7.88,88.61
2025-12-28T03:11:42.987906Z,406.43,7.89,88.44
2025-12-28T03:11:47.991474Z,406.57,7.9,88.39
2025-12-28T03:11:52.994862Z,406.42,7.89,81.57
2025-12-28T03:11:57.998183Z,406.3,7.89,81.63
2025-12-28T03:12:03.001294Z,406.15,7.9,81.8
2025-12-28T03:12:08.004908Z,406.26,7.91,81.9
2025-12-28T03:12:13.008918Z,406.26,7.91,82.07
2025-12-28T03:12:18.011129Z,406.37,7.67,82.07
2025-12-28T03:12:23.014925Z,406.51,7.67,82.26
2025-12-28T03:12:28.015984Z,406.61,7.66,82.41
2025-12-28T03:12:33.017463Z,406.77,7.66,82.56
2025-12-28T03:12:38.021037Z,406.8,7.67,82.51
2025-12-28T03:12:43.026071Z,406.85,7.67,82.55
2025-12-28T03:12:48.029729Z,406.88,7.66,82.45
2025-12-28T03:12:53.033351Z,406.8,7.66,82.39
2025-12-28T03:12:58.036972Z,406.82,7.65,82.47
2025-12-28T03:13:03.040910Z,407.01,7.65,82.54
2025-12-28T03:13:08.045049Z,407.18,7.65,82.53
2025-12-28T03:13:13.048661Z,407.1,7.66,90.68
2025-12-28T03:13:18.051885Z,407.26,7.65,90.77
2025-12-28T03:13:23.053409Z,407.25,7.65,90.84
2025-12-28T03:13:28.057045Z,407.28,7.64,90.95
2025-12-28T03:13:33.060698Z,407.1,7.63,91.03
2025-12-28T03:13:38.064435Z,406.93,7.64,91.03
2025-12-28T03:13:43.068138Z,406.94,7.64,91.03
2025-12-28T03:13:48.071048Z,407.03,7.64,91.15
2025-12-28T03:13:53.074027Z,406.99,7.64,91.23
2025-12-28T03:13:58.075946Z,406.82,7.64,91.33
2025-12-28T03:14:03.091810Z,406.63,7.65,91.53
2025-12-28T03:14:08.100630Z,406.63,7.64,91.52
2025-12-28T03:14:13.102568Z,406.49,7.65,91.68
2025-12-28T03:14:18.106211Z,406.49,7.64,91.61
